opis,kwota,kategoria
Biedronka zakupy,45.50,Jedzenie
Lidl pieczywo,12.30,Jedzenie
MPK bilet miesiêczny,98.00,Transport
Orlen paliwo,156.70,Transport
Netflix abonament,29.90,Rozrywka
Kino Helios,38.00,Rozrywka
Energa pr¹d,245.00,Rachunki
Tauron gaz,180.00,Rachunki
¯abka woda,4.50,Jedzenie
Carrefour zakupy,120.00,Jedzenie
Pizza Hut,45.00,Rozrywka
Uber przejazd,22.50,Transport
Spotify premium,19.99,Rozrywka
Orange œwiat³owód,89.00,Rachunki
Auchan chemia,67.80,Jedzenie
Paliwko benzyna,210.00,Transport
McDonald's,32.50,Rozrywka
Play telefon,49.00,Rachunki
Biedronka piwo,15.00,Jedzenie
Tesco zakupy,88.00,Jedzenie
Bolt przejazd,18.00,Transport
Lidl warzywa,22.00,Jedzenie
Cinema City,42.00,Rozrywka
Vectra internet,79.00,Rachunki
Kaufland miêso,55.00,Jedzenie
MZK bilet,3.80,Transport
Netflix premium,49.99,Rozrywka
PGE pr¹d,320.00,Rachunki
¯abka energetyk,6.50,Jedzenie
Intermarche,95.00,Jedzenie
Taxi na aplikacjê,35.00,Transport
Pub Szklanka,67.00,Rozrywka
T-Mobile abonament,65.00,Rachunki
Lidl s³odycze,18.00,Jedzenie
Carrefour owoce,28.00,Jedzenie
PKS bilet,15.00,Transport
Krêgle,89.00,Rozrywka
Energa woda,52.00,Rachunki
Biedronka nabia³,23.00,Jedzenie
Orlen myjnia,25.00,Transport
Cinema City popcorn,22.00,Rozrywka
Play internet,59.00,Rachunki
Kaufland ryba,42.00,Jedzenie
Tramwaj 3,3.40,Transport
Pub pod Arkadiami,112.00,Rozrywka
Tauron gaz,210.00,Rachunki
Lidl pieczywo,8.50,Jedzenie
Uber eats,44.00,Rozrywka
Vectra tv,65.00,Rachunki
